NAMA,AIR (g),ENERGI (Kal),PROTEIN (g),LEMAK (g),KARBO (g),SERAT (g),ABU (g),KALSIUM (mg),FOSFOR (mg),BESI (mg),NATRIUM (mg),KALIUM (mg),TEMBAGA (mg),SENG (mg),RETINOL (mcg),BKAR (mcg),KARTOTAL (mcg),THIAMIN (mg),RIBOFLAVIN (mg),NIASIN (mg),VITC (mg),BDD (%)
Woku ubi,73,143,3.1,7.8,15,7,1.1,195,91,2.8,353,256,0.3,1,,1519,0,0.1,,,15,100
Alpukat ,84.3,85,0.9,6.5,7.7,0,0.6,10,20,0.9,2,278,0.2,0.4,,189,180,0.05,0.08,1,13,61
Anggur hutan ,92.3,30,0.5,0.2,6.8,1.2,0.2,39,12,1.1,,,,,0,,1,0.01,,,3,100
Apel malang ,85.9,57,0.5,0.4,12.8,0.8,0.3,9,18,0.6,3.6,175.4,110.2,0,,26,2240,0.05,0.03,0.1,5,88
Apel ,84.1,58,0.3,0.4,14.9,2.6,0.3,6,10,0.3,2,130,124.2,0.3,,30,90,0.04,0.03,0.1,5,88
Arbai ,89.9,37,0.8,0.5,8.3,0,0.5,28,27,0.8,1.95,43,63.5,18.9,,2,60,0.03,0,0.1,60,96
Belimbing ,90,36,0.4,0.4,8.8,3.2,0.4,4,12,1.1,4,130,,0.1,,29,170,0.03,,,35,86
Biwah ,87.1,51,0.3,0.1,12.1,0.7,0.5,220,14,0.8,1,258.6,0,0,0,,12256,0.1,0.02,0,4,66
Buah atung ,92,23,0.8,0.2,5.2,0,1.8,30,50,4.6,,,,,,,0,0.29,,,38,80
Buah kelenting ,73.9,110,1.4,2.1,21.4,0,1.2,8,102,1.1,2,0,0.3,0.9,,,,0.2,0.1,,6,77
Buah kom ,33.7,264,4,1.1,59.6,9,1.7,306,92,0.8,,,,,0,,400,0.11,,0,9,100
Buah mentega(Bisbul) ,89,39,0.7,0.2,9.7,2,0.4,43,17,0.8,1,90,0.1,0.1,,141,55,0.02,0.01,0.1,33,50
Buah Naga Merah,85.7,71,1.7,3.1,9.1,3.2,0.4,13,14,0.4,10,128,0,0.4,,0,0,0.5,0.3,0.5,1,66.5
Buah Naga Putih,86.6,56,0.8,1,10.9,3.2,0.6,13,27,0.5,7,231,0,0.4,,0,0,0.02,0.5,0.9,1,73.6
Buah negri ,85.7,55,1.2,0.1,12.2,5.2,0.8,30,40,0.2,10,0,0.1,0.3,,460,,0.33,0.03,0.1,9,48
Buah nona ,71.5,101,1.7,0.6,25.2,2.8,1,27,20,0.8,5,312.5,325.7,0.1,,49,,0.08,0.16,0.9,22,58
Buah rotan ,79.4,78,0.6,0.3,18.2,0,1.5,1,7,3.4,7,495,0.3,0.7,,,,0.12,0,,5,
Buah rukam ,71.3,113,0.8,0.3,26.8,7.7,0.8,108,52,1.2,2,219,0.3,0.9,,17,,0.06,0.01,,20,100
Buah ruruhi ,93,29,2.1,0.7,3.6,2.6,0.3,6,7,0,36,45,0,0.1,,7,,0.06,0.01,,10,82
Buah tuppa ,82.5,67,0.4,0.2,15.9,0,1,12,139,0.5,2,0,0.2,0.5,,,,0.04,0.01,,5,
